GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
item-service,com.retail.services.itemservice,ItemServiceController,0,50,0,0,0,10,0,5,0,5
item-service,com.retail.services.itemservice,WebSecurityConfig,0,27,0,0,0,5,0,3,0,3
